id;title;content;date;rank_one;rank_two;rank_three;rank_four;rank_five;rank_six;rank_seven;user_id;topic_id
1;Saint Helena Pound mesh;EXE Tasty Rubber Chips;2020-12-11T18:30:14;40822;35368;64927;13625;5825;34230;12209;2;1
2;copy solutions Tools;Home Loan Account;2020-12-11T17:51:21;83243;19754;69443;53817;34629;19200;63164;2;2
3;Multi-layered revolutionize;Markets Kroon Dominica;2020-12-11T18:20:46;42860;98784;55408;84582;11074;73739;45166;1;3
4;solution-oriented Incredible Cotton Tuna Illinois;enterprise exploit collaborative;2020-12-11T11:29:38;53289;20777;18335;3931;78289;77338;46838;2;4
5;plum Investor help-desk;Avon;2020-12-11T12:41:13;62869;11460;5985;25395;18140;69509;54043;2;5
6;innovative generate Ergonomic Cotton Computer;zero tolerance payment;2020-12-11T15:50:00;87039;95438;31172;83240;51484;75634;61418;1;6
7;background;bandwidth Manager web-enabled;2020-12-11T16:16:49;97467;75029;87454;34994;75376;67903;66117;1;7
8;matrix;synergize optical throughput;2020-12-11T07:51:44;54862;31966;57048;77702;28035;84024;50610;1;8
9;Gateway olive;Philippine Peso;2020-12-12T00:29:17;91017;43722;86261;33614;97255;42872;52516;2;9
10;Michigan;Savings Account Cross-group;2020-12-11T08:46:15;20968;23949;55086;75868;59901;99826;11391;1;10
